17	47600000	48470000	317.0800	0.1098	0.0000
3	45380000	45800000	312.9400	0.0455	0.0000
11	105350000	105960000	312.0600	0.0755	0.0000
17	28440000	29280000	311.0200	0.1771	0.0000
8	22240000	22740000	309.8800	0.0696	0.0000
2	233090000	233480000	308.8600	0.0475	0.0000
6	42150000	42740000	308.3400	0.0811	0.0000
4	112690000	113430000	307.9200	0.0615	0.0000
11	45750000	46110000	306.1000	0.0825	0.0000
11	71970000	72850000	305.4200	0.0685	0.0000
6	36040000	36560000	305.2400	0.0649	0.0000
1	39150000	39450000	305.2000	0.0889	0.0000
15	42120000	42520000	305.0400	0.0361	0.0000
17	3890000	4340000	304.2600	0.1718	0.0000
3	141330000	141610000	304.2600	0.0641	0.0000
16	23540000	24200000	304.2000	0.1731	0.0000
4	6170000	7020000	304.2000	0.1290	0.0000
3	52320000	53320000	304.1800	0.1945	0.0000
6	144410000	144600000	303.6400	0.0346	0.0000
17	39660000	40040000	303.6000	0.0550	0.0000
8	129830000	130090000	303.5600	0.0456	0.0000
16	57440000	57700000	302.6200	0.0587	0.0000
2	225380000	226190000	302.5800	0.0508	0.0000
2	98370000	98640000	302.4000	0.0622	0.0000
22	19900000	20280000	302.0000	0.0543	0.0000
1	186440000	187080000	301.9600	0.1604	0.0000
12	109310000	110160000	301.9400	0.1347	0.0000
14	101860000	102520000	301.8800	0.0559	0.0000
10	73820000	74150000	301.8800	0.0481	0.0000
15	90430000	90500000	301.8800	0.0302	0.0000
14	99230000	99270000	301.8400	0.0566	0.0000
9	280000	560000	301.6200	0.0521	0.0000
6	33450000	33990000	301.5800	0.0864	0.0000
20	35340000	35730000	301.5200	0.1227	0.0000
14	50090000	50540000	301.4000	0.0540	0.0000
13	39230000	39460000	301.3400	0.0622	0.0000
14	92400000	92630000	301.3200	0.0587	0.0000
1	55060000	55210000	301.2200	0.0422	0.0000
4	84500000	84890000	301.0000	0.0710	0.0000
6	40970000	41780000	300.7400	0.1113	0.0000
3	36810000	37330000	300.5000	0.1263	0.0000
5	96620000	97060000	300.4000	0.1415	0.0000
1	151290000	152000000	300.3600	0.1003	0.0000
9	132270000	133000000	299.9800	0.1648	0.0000
8	28690000	29380000	299.7400	0.1040	0.0000
17	75540000	75710000	299.5400	0.0275	0.0000
5	83220000	83620000	299.4200	0.0456	0.0000
12	55650000	55910000	299.3600	0.0670	0.0000
1	53420000	54410000	299.2800	0.1124	0.0000
8	27390000	27460000	299.2200	0.0267	0.0000
7	19750000	19830000	299.0400	0.0238	0.0000
9	121110000	121330000	298.9800	0.0472	0.0000
11	30730000	31320000	298.7000	0.0716	0.0000
16	66930000	67530000	298.6400	0.1286	0.0000
2	227560000	227790000	298.6200	0.0539	0.0000
11	114110000	114310000	298.5600	0.0426	0.0000
15	63050000	63380000	298.4600	0.0551	0.0000
16	67870000	68210000	298.3200	0.0672	0.0000
1	88750000	89150000	298.2800	0.0745	0.0000
17	81980000	82290000	298.1800	0.0547	0.0000
4	114290000	114680000	297.9200	0.0488	0.0000
9	3940000	4470000	297.8400	0.0699	0.0000
20	59170000	59290000	297.8400	0.0490	0.0000
10	68740000	69270000	297.7400	0.0308	0.0000
17	34430000	35370000	297.6600	0.1188	0.0000
2	218230000	218750000	297.6400	0.0740	0.0000
20	34690000	35070000	297.5400	0.0466	0.0000
15	40210000	40580000	297.5200	0.0336	0.0000
1	206480000	206880000	297.4200	0.0442	0.0000
15	42570000	43510000	297.3400	0.1080	0.0000
11	128470000	128510000	297.3200	0.0580	0.0000
2	69710000	69880000	297.2400	0.0451	0.0000
6	111650000	111750000	297.2000	0.0421	0.0000
14	21320000	21520000	297.1200	0.0522	0.0000
8	132740000	133490000	297.1000	0.0957	0.0000
1	178330000	178470000	297.1000	0.0405	0.0000
14	22520000	22560000	297.0800	0.0215	0.0000
5	141500000	141590000	297.0400	0.0154	0.0000
5	129910000	130700000	297.0000	0.1036	0.0000
6	37250000	38210000	296.8800	0.0893	0.0000
15	63620000	64310000	296.8800	0.0583	0.0000
11	118360000	118630000	296.8600	0.0767	0.0000
1	153370000	153830000	296.6000	0.0550	0.0000
1	36170000	36180000	296.6000	0.0070	0.0000
15	89100000	89480000	296.5000	0.0605	0.0000
1	194550000	195140000	296.4600	0.1481	0.0000
3	102240000	102490000	296.4600	0.0324	0.0000
12	120610000	121610000	296.3800	0.1729	0.0000
9	136330000	136680000	296.3600	0.0824	0.0000
6	140130000	140690000	296.3600	0.0556	0.0000
20	32070000	32480000	296.3400	0.1101	0.0000
7	27730000	27950000	296.3000	0.0426	0.0000
17	57760000	58260000	296.2600	0.0736	0.0000
16	81300000	81860000	296.0200	0.0905	0.0000
20	41060000	41430000	295.9800	0.0713	0.0000
8	122710000	123150000	295.8400	0.0913	0.0000
17	50100000	51090000	295.7400	0.1857	0.0000
6	26350000	26470000	295.7400	0.0636	0.0000
3	47290000	47650000	295.7000	0.0587	0.0000
9	104140000	104700000	295.6400	0.0439	0.0000
6	152090000	152340000	295.6000	0.0788	0.0000
1	185680000	186220000	295.6000	0.0786	0.0000
13	38160000	38930000	295.5800	0.0753	0.0000
22	45930000	46460000	295.4400	0.0745	0.0000
1	155760000	156080000	295.4200	0.0512	0.0000
7	105040000	105210000	295.3200	0.0312	0.0000
20	44790000	45470000	295.2600	0.0643	0.0000
9	120450000	120920000	295.2600	0.0624	0.0000
9	86270000	86370000	295.1800	0.0259	0.0000
5	14680000	14770000	295.1600	0.0218	0.0000
9	93070000	93660000	295.0600	0.0609	0.0000
21	28600000	29140000	295.0400	0.0810	0.0000
2	194460000	194750000	295.0400	0.0583	0.0000
3	12440000	12930000	295.0000	0.1274	0.0000
17	79970000	80380000	295.0000	0.0842	0.0000
10	109860000	110820000	294.9400	0.1103	0.0000
4	108790000	109310000	294.8800	0.1966	0.0000
17	77440000	77460000	294.7800	0.0159	0.0000
1	51490000	51850000	294.7600	0.0754	0.0000
8	18100000	18800000	294.7400	0.0550	0.0000
5	176900000	177600000	294.7000	0.1175	0.0000
12	57010000	57350000	294.5200	0.0304	0.0000
10	88890000	88990000	294.5000	0.0255	0.0000
10	79080000	79340000	294.4600	0.0713	0.0000
6	79410000	79920000	294.4600	0.0641	0.0000
4	3170000	3390000	294.4600	0.0399	0.0000
15	55490000	55940000	294.4400	0.0685	0.0000
10	101170000	102160000	294.4400	0.0501	0.0000
7	155680000	155760000	294.3400	0.0350	0.0000
6	43000000	43440000	294.3000	0.0977	0.0000
10	103160000	104150000	294.2600	0.1010	0.0000
20	51430000	51490000	294.2200	0.0259	0.0000
21	46050000	46570000	294.1800	0.0685	0.0000
4	154200000	154730000	294.1400	0.0723	0.0000
7	120640000	120880000	294.1400	0.0497	0.0000
